PerNo,PerStatus
1,1
3,0
7,0
15,0
16,0
18,0
19,0
22,0
23,1
24,0
26,1
31,0
34,1
35,0
40,1
41,1
43,0
45,0
51,1
55,1
56,0
57,1
59,1
62,1
65,1
68,1
69,0
71,1
72,1
73,0
78,1
80,1
84,1
85,0
87,0
89,1
96,0
98,1
100,0
102,1
107,1
109,0
112,0
113,0
118,0
120,1
121,0
128,0
133,0
135,1
137,0
138,1
140,0
143,1
145,0
146,1
147,1
150,1
153,0
155,1
158,1
159,0
160,0
162,0
163,0
165,0
169,0
170,1
171,1
177,1
179,0
186,1
194,0
195,0
197,0
203,1
204,0
206,0
210,0
212,0
214,1
220,0
224,1
227,0
235,0
238,0
241,1
243,1
244,1
245,0
249,1
252,1
259,0
260,0
266,0
267,0
269,0
271,0
272,0
273,1
274,1
276,0
281,1
282,0
283,1
287,1
289,0
290,1
291,1
294,0
302,1
303,0
306,0
309,1
311,0
313,1
318,0
321,0
322,1
325,0
327,1
332,0
333,1
334,1
338,0
339,0
341,0
342,0
343,1
344,0
345,0
349,0
350,1
352,0
353,0
355,1
358,0
361,0
364,0
365,1
366,0
368,0
369,0
372,1
376,1
377,0
378,0
379,0
380,0
382,0
385,0
387,0
389,1
392,0
394,1
398,1
402,0
403,0
405,1
408,1
410,0
412,0
413,0
414,0
421,1
424,0
425,1
426,0
429,0
430,1
435,0
438,0
439,0
447,1
448,1
452,1
455,1
456,1
458,0
462,1
465,0
468,0
469,0
470,0
471,0
475,0
477,0
478,1
479,0
484,1
488,0
489,1
494,0
496,0
498,1
499,0
503,1
505,0
508,1
514,1
520,0
522,1
523,0
525,1
530,1
534,0
535,0
537,0
540,1
545,0
552,1
554,1
555,0
557,1
559,0
561,1
567,0
569,0
574,1
576,0
583,1
585,1
586,0
589,0
590,0
594,0
597,0
598,0
599,1
603,1
604,0
609,1
614,0
619,0
621,0
622,1
623,1
629,1
633,0
634,0
636,0
637,0
641,1
643,0
648,1
649,1
650,1
651,1
656,1
658,1
659,0
660,1
662,0
663,0
664,1
666,0
667,0
670,0
671,0
672,1
675,0
676,0
677,0
678,1
679,0
684,0
686,1
694,0
699,0
703,0
707,1
709,1
711,0
713,1
718,0
723,0
728,0
730,0
731,0
732,1
734,0
735,1
736,0
737,1
739,1
740,0
741,0
743,0
744,1
748,1
749,0
750,0
751,0
754,1
755,0
756,0
760,1
762,0
764,0
766,1
767,1
769,1
770,1
771,1
772,0
774,1
779,1
781,1
782,1
783,1
784,0
785,0
786,0
789,0
790,1
791,1
792,0
795,0
797,0
798,0
799,0
800,0
802,0
805,0
807,1
808,0
811,1
812,0
817,0
821,0
823,1
827,0
829,0
831,1
834,0
836,0
837,0
839,1
840,1
841,0
842,1
844,0
845,0
849,1
850,1
854,0
855,1
856,0
857,0
867,1
871,1
874,0
877,0
881,0
882,1
883,1
885,0
886,1
887,0
888,0
889,1
890,1
891,0
895,0
898,0
901,1
903,1
905,0
907,0
909,1
910,1
911,1
914,0
919,0
922,0
923,0
925,0
926,1
927,1
929,0
930,0
935,1
936,1
937,0
938,0
939,0
940,0
944,1
945,0
947,0
948,0
955,0
957,1
961,0
962,1
963,0
964,0
970,0
971,1
979,1
980,1
981,0
983,0
984,0
990,0
991,0
993,0
995,1
999,0
1002,1
1004,0
1005,0
1007,0
1008,0
1010,0
1011,0
1012,1
1013,1
1014,1
1016,0
1017,0
1018,0
1023,0
1026,1
1027,1
1029,0
1030,0
1032,1
1034,1
1035,1
1037,0
1039,0
1047,0
1048,0
1050,1
1053,0
1054,0
1056,1
1058,1
1060,1
1063,0
1066,0
1067,1
1068,0
1070,0
1071,0
1072,1
1075,0
1079,0
1080,1
1081,1
1083,1
1087,0
1088,1
1090,0
1093,1
1095,1
1102,0
1105,0
1109,1
1112,0
1113,1
1115,0
1117,0
1121,1
1123,1
1126,0
1128,0
1130,0
1131,1
1136,0
1138,0
1140,0
1141,1
1143,0
1145,0
1147,1
1153,1
1154,0
1155,0
1157,0
1161,1
1165,1
1167,0
1170,0
1171,0
1172,0
1173,0
1175,0
1177,0
1179,1
1180,0
1182,1
1184,0
1186,0
1188,1
1189,0
1192,0
1198,0
1200,1
1201,0
1203,0
1216,1
1219,0
1222,0
1224,0
1227,0
1228,1
1229,0
1230,0
1232,1
1233,1
1235,1
1236,0
1237,1
1239,0
1240,1
1242,1
1243,1
1244,0
1245,0
1250,0
1251,0
1254,0
1259,1
1261,0
1262,0
1264,0
1265,0
1268,1
1269,0
1271,0
1273,1
1275,0
1280,0
1286,1
1289,1
1292,0
1293,0
1294,0
1301,0
