"PerNo","PerStatus","年資層級A","年齡層級","年資層級B","升遷速度","眷屬量","婚姻狀況","工作資歷5","近一年請假數B","近三月請假數B","sex","近一年請假數A","特殊專案佔比","訓練時數C","任職前工作平均年數","工作分類"
1,0,2,6,1,1,0,1,0,0,0,1,5,3,5,2,1
1,0,2,7,2,1,2,1,0,0,0,1,6,1,8,2,1
1,0,2,7,2,1,2,1,0,0,0,1,7,1,5,2,1
1,0,2,7,2,2,2,1,0,0,0,1,5,5,10,2,1
3,0,5,9,5,6,2,1,0,0,0,0,6,1,1,0,1
3,0,6,10,6,6,2,1,0,0,0,0,6,3,1,0,1
3,0,6,10,6,7,2,1,0,0,0,0,7,3,1,0,1
3,0,6,10,6,7,2,1,0,0,0,0,7,3,1,0,1
6,0,6,11,4,6,1,1,0,0,0,1,6,1,2,3,1
6,0,6,11,5,7,1,1,0,0,0,1,6,0,0,3,1
6,0,6,11,5,7,1,1,0,0,0,1,10,0,0,3,1
7,0,1,3,1,1,0,2,0,0,0,0,7,3,2,0,1
10,0,6,12,4,2,0,1,0,0,0,1,6,3,1,2,1
10,0,7,12,4,2,0,1,0,0,0,1,6,1,1,2,1
10,0,7,13,5,2,0,1,0,0,0,1,6,1,1,2,1
11,0,1,2,1,1,0,2,1,0,0,1,6,0,2,0,1
11,0,1,2,1,1,0,2,1,0,0,1,5,0,0,0,1
11,1,1,3,1,2,0,2,1,0,0,1,7,0,1,0,1
14,0,1,2,1,1,0,2,1,0,0,1,6,0,0,0,1
14,0,1,2,1,1,0,2,1,0,0,1,5,1,1,0,1
14,1,1,3,1,2,0,2,1,0,0,1,8,1,0,0,1
15,0,3,9,1,1,2,1,0,0,0,0,5,3,1,2,1
16,0,2,6,1,1,1,1,0,1,1,0,9,0,4,1,1
18,0,6,10,3,3,1,1,0,0,0,1,8,0,1,0,2
18,0,6,11,3,3,1,1,0,0,0,1,8,0,1,0,2
18,0,6,11,3,4,1,1,0,0,0,1,9,0,1,0,2
18,0,6,11,3,4,1,1,0,0,0,1,10,0,1,0,2
19,0,2,3,1,1,0,1,0,0,0,0,8,0,1,1,1
19,0,2,4,1,2,0,1,0,0,0,0,3,0,1,1,1
19,0,2,4,1,2,0,1,0,0,0,0,7,0,2,1,1
19,0,2,4,2,2,1,1,0,0,0,0,10,0,2,1,1
22,0,6,9,4,3,0,1,0,0,0,1,6,1,1,0,1
22,0,6,9,5,3,0,1,0,0,0,1,6,1,1,0,1
22,0,6,10,5,4,0,1,0,0,0,1,6,0,1,0,1
22,0,6,10,5,4,0,1,0,0,0,1,4,5,1,0,1
23,0,2,6,2,2,2,1,0,0,0,1,6,0,12,0,1
23,0,2,7,2,3,2,1,0,0,0,1,7,0,4,0,1
23,0,2,7,2,3,2,1,0,0,0,1,9,4,2,0,1
23,0,2,7,2,3,2,1,0,0,0,1,6,5,3,0,1
24,0,6,10,6,2,2,1,0,0,0,1,8,0,1,0,1
24,0,6,11,6,2,2,1,0,0,0,1,10,1,1,0,1
24,0,6,11,6,2,2,1,0,0,0,1,8,0,1,0,1
24,0,6,11,6,3,2,1,0,0,0,1,10,0,2,0,1
26,0,3,6,1,2,1,1,0,0,0,1,5,1,1,2,1
26,0,3,6,1,2,1,1,0,0,0,1,6,0,1,2,1
26,0,3,7,2,2,1,1,0,0,0,1,4,4,3,2,1
26,0,3,7,2,1,2,1,0,0,0,1,7,2,2,2,1
27,0,7,13,7,5,1,1,0,0,0,1,9,1,1,1,1
28,1,2,4,1,1,0,2,0,2,1,1,7,0,1,0,1
31,0,1,2,1,1,0,1,1,0,0,1,6,0,2,0,1
31,0,1,3,1,1,1,1,1,0,0,1,6,0,3,0,1
31,0,1,3,1,1,1,1,1,0,0,1,7,1,2,0,1
31,0,2,3,2,1,1,1,1,0,0,1,8,1,3,0,1
35,0,5,10,5,2,2,1,1,0,0,1,6,2,2,0,1
35,0,6,10,6,2,2,1,1,0,0,1,6,2,1,0,1
35,0,6,10,6,1,2,1,1,0,0,1,6,1,1,0,1
35,0,6,11,6,1,2,1,1,0,0,1,6,0,3,0,1
39,0,7,12,6,7,3,1,0,0,0,1,6,0,5,1,1
39,0,7,12,7,8,3,1,0,0,0,1,6,0,2,1,1
39,0,7,12,7,8,2,1,0,0,0,1,7,0,3,1,1
39,0,7,13,7,8,2,1,0,0,0,1,5,0,2,1,1
40,0,2,6,2,2,1,1,0,0,0,1,8,0,1,1,1
40,0,2,6,2,2,2,1,0,0,0,1,6,1,3,1,1
40,0,2,6,2,3,2,1,0,0,0,1,8,3,1,1,1
40,0,3,7,2,3,2,1,0,0,0,1,8,1,1,1,1
42,0,1,4,1,1,0,1,1,0,0,1,8,0,1,0,1
42,0,1,4,1,2,0,1,1,0,0,1,6,0,4,0,1
42,0,2,5,2,2,0,1,1,0,0,1,9,0,4,0,1
44,0,7,12,7,1,2,1,0,0,0,1,7,15,1,1,1
44,0,8,12,8,2,2,1,0,0,0,1,6,15,1,1,1
44,0,8,13,8,2,1,1,0,0,0,1,6,15,1,1,1
45,0,3,5,3,2,0,2,1,0,0,1,6,2,1,0,1
45,0,3,5,3,2,1,2,1,0,0,1,6,2,1,0,1
45,0,3,6,3,3,0,2,1,0,0,1,6,0,1,0,1
45,0,3,6,3,3,0,2,1,0,0,1,6,1,1,0,1
51,0,2,5,1,1,1,1,0,0,0,1,7,0,5,1,1
54,1,1,5,1,1,1,1,1,0,0,1,7,0,1,0,1
55,0,5,11,5,2,1,1,0,0,0,1,8,1,1,0,1
55,0,6,11,6,2,1,1,0,0,0,1,7,0,1,0,1
55,0,6,11,6,2,1,1,0,0,0,1,4,0,5,0,1
55,0,6,12,6,2,1,1,0,0,0,1,8,0,2,0,1
56,0,5,8,4,3,0,1,0,0,0,0,10,0,1,1,2
56,0,5,9,4,4,0,1,0,0,0,0,10,0,1,1,2
56,0,5,9,4,4,0,1,0,0,0,0,8,0,1,1,2
56,0,6,9,5,4,0,1,0,0,0,0,10,0,1,1,2
57,0,4,11,2,3,2,1,0,0,0,1,6,5,3,1,1
57,0,4,11,3,4,2,1,0,0,0,1,6,1,1,1,1
57,0,5,11,3,4,2,1,0,0,0,1,6,2,2,1,1
57,0,5,12,3,4,2,1,0,0,0,1,6,1,3,1,1
58,0,6,11,6,6,0,1,0,0,0,0,11,0,1,1,2
58,0,6,11,6,6,0,1,0,0,0,0,5,0,2,1,2
59,0,2,5,2,3,2,1,0,0,0,1,6,0,3,0,1
59,0,2,5,2,1,2,1,0,0,0,1,6,1,3,0,1
59,0,2,6,2,1,3,1,0,0,0,1,6,1,2,0,1
59,0,3,6,3,1,3,1,0,0,0,1,11,1,2,0,1
61,0,7,12,6,5,1,1,0,0,0,1,6,1,3,1,1
61,0,7,13,6,6,1,1,0,0,0,1,6,1,2,1,1
62,0,2,6,1,2,1,2,0,0,0,1,6,5,1,1,1
62,0,2,7,2,2,1,2,0,0,0,1,6,2,1,1,1
62,0,3,7,2,2,1,2,0,0,0,1,6,0,2,1,1
62,0,3,7,2,3,1,2,0,0,0,1,7,1,1,1,1
65,0,2,7,2,1,1,1,0,0,0,1,7,1,10,0,1
65,0,3,7,3,1,1,1,0,0,0,1,6,3,1,0,1
65,0,3,8,3,1,2,1,0,0,0,1,6,5,3,0,1
65,0,3,8,3,2,2,1,0,0,0,1,6,4,1,0,1
68,0,3,7,1,1,0,1,0,0,0,1,8,2,1,1,1
68,0,4,8,1,2,1,1,0,0,0,1,6,5,1,1,1
68,0,4,8,1,2,1,1,0,0,0,1,7,7,2,1,1
68,0,4,8,2,2,0,1,0,0,0,1,8,0,1,1,1
69,0,6,11,6,2,1,1,0,0,0,1,6,0,0,0,1
69,0,6,12,6,2,1,1,0,0,0,1,6,0,1,0,1
69,0,6,12,6,2,1,1,0,0,0,1,7,1,1,0,1
69,0,7,12,7,3,1,1,0,0,0,1,6,0,2,0,1
70,0,7,13,7,6,1,1,0,0,0,1,6,4,2,2,1
71,0,2,4,1,1,0,1,0,0,0,1,7,0,1,0,1
71,0,2,4,1,1,1,1,0,0,0,1,7,2,1,0,1
71,0,2,4,2,1,1,1,0,0,0,1,6,0,1,0,1
71,0,2,5,2,1,2,1,0,0,0,1,6,3,1,0,1
72,0,2,5,2,3,0,1,1,0,0,1,6,0,1,0,1
72,0,2,5,2,3,0,1,1,0,0,1,6,1,1,0,1
72,0,2,6,2,3,0,1,1,0,0,1,6,0,1,0,1
72,0,3,6,3,4,1,1,1,0,0,1,7,1,3,0,1
73,0,1,5,1,1,2,1,1,1,1,1,8,0,1,1,1
73,0,1,5,1,1,2,1,1,1,1,1,7,0,2,1,1
73,0,1,5,1,2,3,1,1,0,0,1,9,0,1,1,1
78,0,3,6,3,2,0,2,0,0,0,1,10,1,1,0,1
78,0,3,6,3,2,0,2,0,0,0,1,11,4,1,0,1
78,0,3,7,3,2,0,1,0,0,0,1,6,11,3,0,1
78,0,4,7,4,2,0,1,0,0,0,1,8,8,3,0,1
80,0,4,7,2,2,1,1,0,0,0,1,7,0,1,1,1
80,0,4,8,2,2,1,1,0,0,0,1,8,1,1,1,1
80,0,4,8,2,3,1,1,0,0,0,1,7,9,2,1,1
80,0,4,8,2,3,1,1,0,0,0,1,8,1,2,1,1
85,0,2,6,2,3,2,1,1,0,0,1,6,0,14,0,1
85,0,2,6,2,3,2,1,1,0,0,1,6,0,2,0,1
85,0,2,6,2,1,3,1,1,0,0,1,6,0,4,0,1
85,0,2,7,2,1,3,1,1,0,0,1,6,0,1,0,1
87,0,6,11,3,1,1,2,0,0,0,0,7,5,6,3,1
87,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,0,2,5,1,1,1,1,0,0,0,1,8,2,8,1,1
96,0,2,4,1,2,1,2,0,0,0,1,6,0,5,1,1
96,0,2,4,2,2,1,2,0,0,0,1,6,1,2,1,1
